config_id,repeat_seed,split,sample,condition,num_layers,reference_weight,phase_mix,wrongref_mode,psnr_db,mse
1,7,ood,two_spots,noncommon_path,1,0.16,0.14,task_matched_decoy,14.080591,0.03907877
1,7,ood,frame,noncommon_path,1,0.16,0.14,task_matched_decoy,9.584353,0.11004357
1,7,ood,disk,wrong_reference,1,0.16,0.14,task_matched_decoy,13.849626,0.04121331
1,7,ood,two_spots,wrong_reference,1,0.16,0.14,task_matched_decoy,13.739595,0.0422708
1,7,ood,frame,wrong_reference,1,0.16,0.14,task_matched_decoy,9.546379,0.11100999
2,0,train,cross,ordinary,1,0.16,0.15,task_matched_decoy,13.191662,0.04795499
2,0,train,diag,ordinary,1,0.16,0.15,task_matched_decoy,13.601856,0.04363294
2,0,train,box,ordinary,1,0.16,0.15,task_matched_decoy,12.018645,0.06282544
2,0,train,bars,ordinary,1,0.16,0.15,task_matched_decoy,13.222185,0.04761913
2,0,train,ring,ordinary,1,0.16,0.15,task_matched_decoy,13.55648,0.04409121
2,0,train,chevron,ordinary,1,0.16,0.15,task_matched_decoy,13.539212,0.04426687
2,0,train,cross,common_path,1,0.16,0.15,task_matched_decoy,12.964329,0.05053207
2,0,train,diag,common_path,1,0.16,0.15,task_matched_decoy,9.843188,0.1036767
2,0,train,box,common_path,1,0.16,0.15,task_matched_decoy,11.718957,0.06731383
2,0,train,bars,common_path,1,0.16,0.15,task_matched_decoy,12.400492,0.05753748
2,0,train,ring,common_path,1,0.16,0.15,task_matched_decoy,11.73437,0.06707536
2,0,train,chevron,common_path,1,0.16,0.15,task_matched_decoy,10.421529,0.09075011
2,0,train,cross,noncommon_path,1,0.16,0.15,task_matched_decoy,12.975981,0.05039668
