path_rank,config_rank,path_mode,k_b_label,m_label,k_t_label,ac1_pattern,bc1_pattern,ac2_pattern,bc2_pattern,ac7_first_pattern,bc7_first_pattern,ac7_second_pattern,bc7_second_pattern,ac7_second_conjugated,bc7_second_conjugated,overall_rmse_meV,gamma_end_max_abs_delta_meV,k_b_window_rmse_meV,m_window_rmse_meV,k_t_window_rmse_meV,rowwise_sum_rmse_meV,valley_window_gap_meV
3,770,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,anti,cyc,const,cyc,const,False,True,13.430311727222778,19.362577743713864,17.94613160964304,10.91570938077415,18.09163760774873,23.261982273037976,0.14550599810569054
3,281,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,const,anti,cyc,anti,cyc,False,False,13.43043462880668,29.275390420263783,17.188662530271888,10.737004625913153,17.188660707782514,23.262195144825625,1.8224893736373815e-06
3,503,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,cyc,cyc,cyc,anti,anti,True,False,13.43699858588821,26.9337711710332,17.17584012875476,7.315669341297968,17.930433165658773,23.273564251989537,0.7545930369040121
3,492,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,cyc,cyc,cyc,cyc,anti,True,True,13.437479407573237,26.933771171033207,17.469999101201378,10.188558241189419,17.930433199366348,23.274397059577385,0.4604340981649706
3,954,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,anti,anti,anti,cyc,cyc,False,True,13.437700105116672,26.9337711710332,17.946131480425937,10.525741701626265,16.882126205232137,23.274779318935717,1.0640052751938
3,14,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,const,const,const,cyc,const,False,True,13.437707271749883,11.374471727364018,17.188662096892507,11.883928119322164,17.188662197249432,23.27479173190856,1.0035692454835043e-07
3,208,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,const,cyc,anti,anti,const,True,True,13.443835831063382,23.466582657469637,18.07538766210582,7.742069993799548,17.175842229702692,23.285406708016737,0.8995454324031265
3,284,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,const,anti,cyc,anti,cyc,True,True,13.444113107404572,29.27539042026377,17.175840812742326,10.998782833382688,17.175839347975653,23.285886964727418,1.4647666723988095e-06
3,317,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,const,anti,anti,anti,cyc,False,False,13.44486279932189,29.275390420263754,18.09163760774846,9.190396724873455,17.18866118024264,23.287185469218237,0.9029764275058199
3,172,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,const,cyc,cyc,anti,const,True,True,13.448505804537772,23.46658265746965,17.17584125845255,9.133980669463451,18.075387304286416,23.293495339344382,0.8995460458338655
