model,valley,pairing,barrier_Z,eta_meV,bias_meV,conductance_generalized_btk,andreev_component,normal_reflection_component
baseline,K_T,s_wave,0.0,0.05,-46.66666666666666,1.0033277687442392,0.00332776874423967,0.0
baseline,K_T,s_wave,0.0,0.05,-45.83333333333333,1.0033940563903874,0.0033940563903873937,0.0
baseline,K_T,s_wave,0.0,0.05,-45.0,1.003828012544584,0.003828012544583732,0.0
baseline,K_T,s_wave,0.0,0.05,-44.16666666666666,1.0037102620569345,0.0037102620569345267,0.0
baseline,K_T,s_wave,0.0,0.05,-43.33333333333333,1.0040688361690815,0.0040688361690814825,0.0
baseline,K_T,s_wave,0.0,0.05,-42.5,1.0039999560752755,0.003999956075274902,0.0
baseline,K_T,s_wave,0.0,0.05,-41.66666666666666,1.003773706233573,0.003773706233573295,0.0
baseline,K_T,s_wave,0.0,0.05,-40.83333333333333,1.0060745924876247,0.006074592487624886,0.0
baseline,K_T,s_wave,0.0,0.05,-40.0,1.003751128188103,0.0037511281881029636,0.0
baseline,K_T,s_wave,0.0,0.05,-39.16666666666666,1.0043166299181643,0.00431662991816442,0.0
baseline,K_T,s_wave,0.0,0.05,-38.33333333333333,1.0039992048039972,0.003999204803997277,0.0
baseline,K_T,s_wave,0.0,0.05,-37.5,1.003478436482848,0.003478436482847994,0.0
baseline,K_T,s_wave,0.0,0.05,-36.66666666666666,1.003168392785053,0.0031683927850526938,0.0
baseline,K_T,s_wave,0.0,0.05,-35.83333333333333,1.0045247698397834,0.004524769839783388,0.0
baseline,K_T,s_wave,0.0,0.05,-35.0,1.0024078337734688,0.002407833773468857,0.0
baseline,K_T,s_wave,0.0,0.05,-34.166666666666664,1.0044503946112262,0.004450394611225976,0.0
baseline,K_T,s_wave,0.0,0.05,-33.33333333333333,1.001941434874212,0.0019414348742120473,0.0
baseline,K_T,s_wave,0.0,0.05,-32.5,1.0018620586702125,0.0018620586702125354,0.0
baseline,K_T,s_wave,0.0,0.05,-31.666666666666664,1.0024313002267566,0.0024313002267566546,0.0
baseline,K_T,s_wave,0.0,0.05,-30.83333333333333,1.0020598052443717,0.002059805244371542,0.0
baseline,K_T,s_wave,0.0,0.05,-30.0,1.0019337668025499,0.0019337668025495398,0.0
baseline,K_T,s_wave,0.0,0.05,-29.166666666666664,1.002281290750316,0.0022812907503160867,0.0
baseline,K_T,s_wave,0.0,0.05,-28.33333333333333,1.003252040920415,0.0032520409204148453,0.0
baseline,K_T,s_wave,0.0,0.05,-27.5,1.0031695698496004,0.0031695698496003273,0.0
baseline,K_T,s_wave,0.0,0.05,-26.666666666666664,1.0038555357067305,0.0038555357067303693,0.0
baseline,K_T,s_wave,0.0,0.05,-25.83333333333333,1.004751182113788,0.004751182113788139,0.0
baseline,K_T,s_wave,0.0,0.05,-25.0,1.0067071961285372,0.006707196128537061,0.0
baseline,K_T,s_wave,0.0,0.05,-24.166666666666664,1.0104432333243027,0.010443233324302859,0.0
baseline,K_T,s_wave,0.0,0.05,-23.33333333333333,1.0256526705200197,0.02565267052001916,0.0
baseline,K_T,s_wave,0.0,0.05,-22.5,1.0136995048063655,0.013699504806365585,0.0
baseline,K_T,s_wave,0.0,0.05,-21.666666666666664,1.016106493158384,0.016106493158384125,0.0
baseline,K_T,s_wave,0.0,0.05,-20.83333333333333,1.0162596939670347,0.01625969396703421,0.0
baseline,K_T,s_wave,0.0,0.05,-20.0,1.026134266734759,0.026134266734759118,0.0
baseline,K_T,s_wave,0.0,0.05,-19.166666666666664,1.034940409762272,0.03494040976227284,0.0
baseline,K_T,s_wave,0.0,0.05,-18.33333333333333,1.0301947407071719,0.030194740707171694,0.0
baseline,K_T,s_wave,0.0,0.05,-17.5,1.0297267000166634,0.02972670001666402,0.0
baseline,K_T,s_wave,0.0,0.05,-16.666666666666664,1.0290333018539002,0.02903330185390007,0.0
baseline,K_T,s_wave,0.0,0.05,-15.833333333333329,1.0258118909832086,0.025811890983208137,0.0
baseline,K_T,s_wave,0.0,0.05,-15.0,1.0276369958207068,0.02763699582070645,0.0
baseline,K_T,s_wave,0.0,0.05,-14.166666666666655,1.0336043047696448,0.033604304769644454,0.0
baseline,K_T,s_wave,0.0,0.05,-13.333333333333329,1.027782888276934,0.027782888276934002,0.0
baseline,K_T,s_wave,0.0,0.05,-12.5,1.0347584090017483,0.03475840900174827,0.0
baseline,K_T,s_wave,0.0,0.05,-11.666666666666655,1.040234400444367,0.0402344004443673,0.0
baseline,K_T,s_wave,0.0,0.05,-10.833333333333329,1.0460407955457507,0.0460407955457501,0.0
baseline,K_T,s_wave,0.0,0.05,-10.0,1.0534408538331195,0.05344085383311945,0.0
