point_index,E_tb_1_source,E_tb_2_source,E_tb_3_source,E_tb_1_baseline,E_tb_2_baseline,E_tb_3_baseline,E_tb_1_compressed,E_tb_2_compressed,E_tb_3_compressed
12,-19.04516665462996,-24.80791339681873,-36.42181964277324,-16.916272794302635,-26.86065274637821,-36.387460892383565,-17.01718209237818,-25.995975942911816,-37.250283317516555
13,-18.88887292164209,-24.95183943340943,-36.40884070906576,-16.522838924092234,-27.227929045315594,-36.369516530675135,-16.612896340989323,-26.354332616488964,-37.25525572651842
14,-18.72687715883041,-25.09879665578881,-36.39657344596407,-16.12314840626412,-27.597562102565096,-36.3521541387681,-16.205177169816093,-26.71292253586689,-37.2601814182953
15,-18.55961695308148,-25.24793760349842,-36.38544338020837,-15.718188717587047,-27.968060500859124,-36.335925266870404,-15.794641495112199,-27.070915621496354,-37.26532181262053
16,-18.38744638870457,-25.39846154936997,-36.37591390558634,-15.308821308217027,-28.337962970820442,-36.32148053846922,-15.38186025448529,-27.427503247563067,-37.27096610957405
17,-18.2106507436151,-25.54959952716973,-36.36848654606034,-14.895814636963292,-28.70578443296603,-36.30959050363751,-14.967373028080573,-27.781879808661834,-37.277435074690814
18,-18.02945906073332,-25.70060200049411,-36.3637007015901,-14.479867573018108,-29.069968053399737,-36.30117010799204,-14.551697558658006,-28.133229076415166,-37.28508514738546
19,-17.84405474285759,-25.85072919823433,-36.36213270308811,-14.061626106522336,-29.428840625055603,-36.29730652318371,-14.135335986555898,-28.4807136114296,-37.294312796588635
20,-17.65458439853863,-25.99924408530898,-36.36439398029393,-13.641695360422423,-29.780570435620163,-36.29928918545794,-13.71877892166623,-28.823466259806636,-37.30555897892309
21,-17.4611651856525,-26.14540793421279,-36.3711281303362,-13.220648265563955,-30.123129017358835,-36.30863928524126,-13.302508064945787,-29.16058327451855,-37.3193134548286
22,-17.26389088798408,-26.28847847846729,-36.38300667059816,-12.799031840079936,-30.454261196221772,-36.327133349454414,-12.886997843933099,-29.491118991357002,-37.336118578492375
23,-17.06283693523548,-26.42771063990824,-36.40072327355416,-12.377371730762626,-30.77147191218781,-36.356811787043085,-12.472716373228629,-29.814082330603238,-37.35657199149018
24,-16.85806454778277,-26.56235981173653,-36.42498632034149,-11.956175481396276,-31.072043087058116,-36.3999586566817,-12.060125954276534,-30.128435727870475,-37.381327416462355
25,-16.6496241589743,-26.69168763739432,-36.45650968022979,-11.53593486054858,-31.3530978964569,-36.45903496754428,-11.649683267340501,-30.433097431289106,-37.41109247700646
26,-16.43755824195579,-26.81497014549873,-36.49600172878724,-11.117127489235612,-31.611729773899064,-36.53654794502242,-11.24183936942612,-30.726948416737443,-37.44662219658208
27,-16.22190364567596,-26.93150798301948,-36.54415275792175,-10.700217944165573,-31.845204240104337,-36.63484799266465,-10.837039587238172,-31.008845408238287,-37.48870662015821
28,-16.00269352591003,-27.04063833971281,-36.60162109896479,-10.285658466300154,-32.051219278625034,-36.755867499694155,-10.435723379124406,-31.27764154022194,-37.5381509689874
29,-15.77995894153854,-27.14174799209385,-36.6690184602987,-9.873889371481054,-32.22817788865639,-36.90084776665711,-10.038324231053167,-31.53221591233204,-37.59574703400238
30,-15.55373017351426,-27.23428673868553,-36.74689515037486,-9.465339235950028,-32.375400415174894,-37.070126376398434,-9.645269646604186,-31.77151250321254,-37.66223530151403
31,-15.32403781350006,-27.31778037927369,-36.83572598643094,-9.060424912084287,-32.493206493642646,-37.26305511798092,-9.256981287759173,-31.99458752269325,-37.738258692231746
32,-15.09091366065769,-27.39184233918393,-36.93589774943235,-8.659551416736987,-32.5828360752004,-37.47807895541301,-8.873875320125535,-32.20066235462289,-37.82431071985273
33,-14.85439145815567,-27.45618307828015,-37.04769901399094,-8.263111724936987,-32.646237074868,-37.71294846609513,-8.496363011212832,-32.38917711203794,-37.92068300324599
34,-14.61450749534194,-27.5106165627588,-37.17131304926249,-7.871486494462027,-32.68578879563043,-37.964996570775284,-8.12485162142218,-32.55983812224004,-38.027418768387626
35,-14.37130109695051,-27.5550633065994,-37.30681426261612,-7.4850437413175985,-32.704034702760275,-38.231405960817696,-7.759745612226622,-32.71265214351247,-38.14427949279889
36,-14.12481501697444,-27.5895497807123,-37.4541683704245,-7.104138481969993,-32.703472938421314,-38.50941881708026,-7.40144817221556,-32.84794133386604,-38.27073063226068
37,-13.87509575178277,-27.61420429982416,-37.61323617137947,-6.729112354968039,-32.68642034751626,-38.79647303699396,-7.050363026950858,-32.96633590002989,-38.40594947471223
38,-13.62219378455415,-27.62924978414507,-37.78378051324059,-6.360293232098811,-32.65494237885032,-39.090272595818504,-6.706896451106417,-33.06874518110634,-38.54885436243009
39,-13.36616377104104,-27.63499401533679,-37.96547582350653,-5.997994827285402,-32.61083116352568,-39.388809732144935,-6.371459340329525,-33.156311449391474,-38.698151028861616
40,-13.10706467498332,-27.63181813936104,-38.15791944313644,-5.642516309913839,-32.55561361567338,-39.690357106045205,-6.044469126600812,-33.23035284822274,-38.85238970367874
41,-12.84495986009137,-27.6201642059384,-38.36064396669406,-5.294141928076933,-32.49057532335784,-39.993444156740466,-5.7263512381038995,-33.29230216120526,-39.01002641897887
42,-12.57991714436443,-27.60052248610381,-38.57312984168905,-4.953140646269827,-32.416790720932525,-40.29682716416927,-5.417539719730184,-33.34364678469879,-39.16948333032323
43,-12.31200882155566,-27.57341919795417,-38.7948175922331,-4.619765801309772,-32.335153939932816,-40.5994586137919,-5.1184765545052056,-33.38587309083054,-39.32920510505252
44,-12.04131165380709,-27.53940512329394,-39.02511918030697,-4.294254779640169,-32.24640744539226,-40.90045875477888,-4.829609175082879,-33.420416113660494,-39.4877107222034
45,-11.76790683882862,-27.49904544031784,-39.26342817615166,-3.9768287186821456,-32.15116724089935,-41.199090565796226,-4.551385647730238,-33.44861372027539,-39.64364180297886
